Number,lat,lon,ele,time,AQI,GSR
329,51.52753565,-0.003798749,5.093323796,14:50:46,96,280
330,51.52758293,-0.003764996,5.486472787,14:50:51,95,279
331,51.52763192,-0.003732091,5.44085475,14:50:56,91,280
332,51.52767869,-0.003708891,5.560920191,14:51:01,87,277
333,51.52772631,-0.00369347,5.504747917,14:51:08,87,280
334,51.52777136,-0.003691352,5.751337118,14:51:13,92,278
335,51.52781634,-0.003698324,5.685049765,14:51:18,94,274
336,51.52786505,-0.003698816,5.812547233,14:51:24,92,271
337,51.52791673,-0.003693526,6.045512034,14:51:28,96,268
338,51.52796458,-0.003700184,7.106897067,14:51:33,92,266
339,51.52802153,-0.00370894,6.548658532,14:51:39,90,267
340,51.52807103,-0.003737126,6.55103252,14:51:43,91,268
341,51.52811752,-0.003763949,7.258847815,14:51:47,96,273
342,51.52816478,-0.003783505,7.497076146,14:51:51,97,270
343,51.52821878,-0.003789337,7.548227986,14:51:56,98,269
344,51.52826826,-0.003787314,7.507435814,14:52:01,103,271
345,51.52831777,-0.003790402,7.613464453,14:52:06,98,270
346,51.52837008,-0.003793801,7.05332828,14:52:12,93,272
347,51.52842094,-0.003801151,7.535550567,14:52:18,96,272
348,51.52846788,-0.00380771,7.718435976,14:52:22,96,272
349,51.52851885,-0.003804418,7.821067558,14:52:27,101,268
350,51.52856588,-0.003812893,7.825317143,14:52:32,99,265
351,51.52859673,-0.003868999,8.16268519,14:52:37,100,269
352,51.52859229,-0.003954837,7.032788594,14:52:42,102,274
353,51.52857854,-0.00403285,7.949425003,14:52:55,98,269
354,51.52858179,-0.004113156,7.066270948,14:53:00,101,274
355,51.52858538,-0.004206541,7.012568451,14:53:05,103,270
356,51.52859473,-0.004285468,6.485719707,14:53:10,108,275
357,51.52859897,-0.004377136,6.707799163,14:53:15,112,275
358,51.52859486,-0.00445592,5.980261267,14:53:20,113,280
359,51.52859817,-0.004536867,6.184265302,14:53:25,112,276
360,51.52860296,-0.004627357,6.68202184,14:53:30,115,275
361,51.52860124,-0.004711537,6.502688805,14:53:35,115,280
362,51.52860594,-0.004793303,7.155727957,14:53:41,119,279
363,51.52859578,-0.004863775,7.48307894,14:58:08,120,280
364,51.52856733,-0.004938238,7.828838086,14:58:17,117,277
365,51.52853614,-0.004997212,7.525752023,14:58:21,114,276
366,51.52850312,-0.005047639,7.716743127,14:58:24,116,273
367,51.52846623,-0.005095691,7.913880254,14:58:26,113,268
368,51.52842877,-0.00513962,7.570667573,14:58:29,112,263
369,51.52839041,-0.005193875,7.451580402,14:58:33,111,266
370,51.52835918,-0.005262258,8.086696249,14:58:38,106,263
371,51.528334,-0.005334141,8.261106605,14:58:43,106,267
372,51.52831343,-0.005407046,7.496267712,14:58:48,104,265
373,51.52829269,-0.005472867,7.817895195,14:58:52,103,267
374,51.52827808,-0.005548113,7.972280884,14:58:56,103,270
375,51.52828113,-0.005624671,6.914834539,14:59:16,101,266
376,51.52826941,-0.005696987,6.647736051,14:59:24,96,266
377,51.52825899,-0.005775504,7.064359911,14:59:29,97,261
378,51.52825202,-0.005859054,7.064423911,14:59:38,98,260
379,51.52826604,-0.005946769,7.006373073,14:59:42,98,258
380,51.52828167,-0.006025239,6.969147204,14:59:47,102,257
381,51.52831537,-0.006085312,6.957075213,14:59:51,105,259
382,51.5283454,-0.006155608,6.832906482,14:59:56,102,258
383,51.5283741,-0.006224352,6.972246714,15:00:01,98,258
384,51.52840361,-0.00628928,7.301730881,15:00:06,98,260
385,51.5284368,-0.006348151,7.702774521,15:00:11,101,256
386,51.52847669,-0.00639925,8.418504978,15:00:16,99,252
387,51.52852454,-0.006447117,8.15018924,15:00:21,100,247
388,51.52856727,-0.006486328,7.75078279,15:00:26,97,245
389,51.52861827,-0.006525371,7.375083306,15:00:31,94,240
390,51.52865114,-0.006588783,7.751875792,15:00:38,99,238
391,51.52866005,-0.006675824,7.692371205,15:00:42,99,241
392,51.52868647,-0.006747796,7.289489654,15:00:47,97,239
393,51.52871884,-0.006806624,7.648032138,15:00:52,100,237
394,51.52877007,-0.006837321,7.387620206,15:01:00,105,240
395,51.52882135,-0.006832811,7.406299555,15:01:05,103,245
396,51.52886656,-0.006823751,7.890971345,15:01:10,107,244
397,51.52891764,-0.006816854,7.069920503,15:01:15,108,241
